,Review
0,Alabama
1,Alaska
2,Colorado
3,Connecticut
4,Delaware
5,Hawaii
6,Kansas
7,Massachusetts
8,Michigan
9,Mississippi
10,Nebraska
11,New Hampshire
12,New Jersey
13,Rhode Island
14,Tennessee
15,Vermont
16,West Virginia
17,Wyoming
